,Nom_Resto,Type_Cuisine,Type_Repas,Arrondissement
263,L'Espadon,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Petit déjeuner, Déjeuner, Dîner, Brunch, Ouvert tard",75001
264,Meating Corner,"Américaine, Café, Diner, Bars-restaurants","Végétariens bienvenus, Choix végétaliens",75004
265,La Table Afghane,"Végétariens bienvenus, Choix végétaliens, Halal","Déjeuner, Dîner",07
266,Terra Gourma,"Française, Européenne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",72
267,L'Empreinte,"Française, Européenne",Végétariens bienvenus,75014
268,Restaurant Karma,"Asiatique, Tibétaine","Végétariens bienvenus, Choix végétaliens",75012
269,Archibon Bar à Vin,"Française, Bar à vins",Végétariens bienvenus,75009
270,Chez Imogene,Française,Végétariens bienvenus,75011
271,Little Breizh,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Déjeuner, Dîner",75006
272,Paul Chene,"Française, Européenne",Végétariens bienvenus,75116
273,PerBacco,"Italienne, Pizza, Méditerranéenne, Européenne","Déjeuner, Dîner",75002
274,Les Petits Crus,Végétariens bienvenus,Dîner,75011
275,Hao Long,Chinoise,"Végétariens bienvenus, Choix végétaliens",75001
276,Damigiana,"Italienne, Méditerranéenne, Européenne, Toscane, Ligurienne, Italie du Nord, Italie du Centre","Déjeuner, Dîner, Boissons",56
277,YO,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Déjeuner, Dîner, Ouvert tard",75002
278,Lakshmi Bhavan,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",57
279,Pottoka,"Déjeuner, Dîner, Ouvert tard","Réservations, Places assises, Sert de l'alcool, Accepte les cartes bancaires, Service de table",75007
280,Le Concert de Cuisine,"Déjeuner, Dîner","Réservations, Places assises, Accès personnes handicapées, Sert de l'alcool, Accepte les cartes bancaires, Service de table",75015
281,Lilane,Végétariens bienvenus,"Déjeuner, Dîner",75005
282,Holybelly 5,"Australienne, Café, Européenne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75010
283,Crêperie Gigi,Française,"Végétariens bienvenus, Choix végétaliens",75003
284,Pouliche,"Française, Brasserie gastronomique","Déjeuner, Dîner, Ouvert tard, Boissons",75010
285,Le Petit Littré,"Végétariens bienvenus, Choix végétaliens","Boissons, Déjeuner, Dîner",75006
286,L'Escudella,Végétariens bienvenus,"Déjeuner, Dîner",75007
287,Thai Spices,Thaï,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75004
288,Le Cambodge,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",75015
289,Restaurant Le W,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Petit déjeuner, Déjeuner, Dîner, Brunch, Ouvert tard, Boissons",75008
290,Khajuraho,"Indienne, Bar, Asiatique, Fusion, Pakistanaise","Végétariens bienvenus, Choix végétaliens",75007
291,La Capannina,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",75005
292,Le Maharaja,"Indienne, Sri lankaise","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75017
293,Le Taillevent,"Française, Européenne","Déjeuner, Dîner",75008
294,Pedzouille,"Déjeuner, Dîner","Réservations, Places assises, Sert de l'alcool, Wi-Fi gratuit, Accepte les cartes bancaires, Service de table",75010
295,Pleine Terre,"Française, Européenne",Végétariens bienvenus,75116
296,Il grano,"Pizza, Italienne, Méditerranéenne, Européenne, Romana, Sicilienne, Italie du Sud","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75017
297,Tonkatsu Tombo,Végétariens bienvenus,"Déjeuner, Dîner",75015
298,Le P'tit Troquet,"Française, Européenne","Végétariens bienvenus, Plats sans gluten",75007
299,Le Bar de Jarente,"Française, Européenne",Végétariens bienvenus,75004
300,L'Ange 20 Restaurant,"Française, Européenne","Déjeuner, Dîner, Ouvert tard",75004
301,Lalà La Lasagneria - Pigalle,"Italienne, Européenne","Végétariens bienvenus, Choix végétaliens",75009
302,Perchiana,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Ouvert tard",75015
303,Aux Cerises,"Française, Européenne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75007
304,Au Coup De Torchon,"Végétariens bienvenus, Plats sans gluten","Déjeuner, Dîner",75006
305,Chez Germaine,"Française, Européenne",Végétariens bienvenus,75007
306,Schum,"Française, Européenne","Déjeuner, Dîner, Ouvert tard, Boissons",50
307,Ciasa Mia,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75005
308,Papy aux Fourneaux,"Européenne, Saine","Végétariens bienvenus, Choix végétaliens",70
309,Au Bon Accueil,"Française, Européenne","Végétariens bienvenus, Plats sans gluten",75007
310,Juveniles Wine Bar,Végétariens bienvenus,"Déjeuner, Dîner",75001
311,La Forge,Française,Végétariens bienvenus,75005
312,Les Climats,"Française, Européenne",Plats sans gluten,75007
313,Le Colimaçon,"Française, Grillades","Végétariens bienvenus, Plats sans gluten",75004
314,Le Jeroboam,"Française, Européenne, Moderne, Saine, Brasserie gastronomique","Déjeuner, Dîner, Ouvert tard",72
315,Trois Crabes,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Ouvert tard, Boissons",75012
316,Le Bistro du Perigord,Plats sans gluten,"Déjeuner, Dîner, Ouvert tard",71
317,NEW JHELUM,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Déjeuner, Dîner",75002
318,Milord,Choix végétaliens,"Déjeuner, Dîner",75013
319,,,,
320,Le Kigawa,Française,"Déjeuner, Dîner",75014
321,Le Petit Baigneur,"Déjeuner, Dîner, Boissons, Ouvert tard","Accès personnes handicapées, Réservations, Places assises, Stationnement dans la rue, Sert de l'alcool, Bières & Vins, Paiements électroniques, Accepte les cartes bancaires, Service de table",75014
322,La Maison du Jardin,"Végétariens bienvenus, Plats sans gluten","Déjeuner, Dîner, Ouvert tard",75006
323,Chez Nicos,Restauration rapide,"Végétariens bienvenus, Choix végétaliens",75005
324,Le Maxan Restaurant,"Française, Européenne","Plats sans gluten, Végétariens bienvenus",75008
325,AU VIEUX COMPTOIR,"Française, Européenne",Végétariens bienvenus,75001
326,MARDI - Crêperie Urbaine,"Française, Européenne, Moderne, Cuisine de rue (street food)","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75002
327,Guy Savoy,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Déjeuner, Dîner",75006
328,Kheak & Véro,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Ouvert tard",75010
329,La Jacobine,"Française, Européenne","Végétariens bienvenus, Plats sans gluten",59
330,La Brasserie Thaï,"Asiatique, Thaï","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75018
331,Au Petit Tonneau,"Française, Saine","Végétariens bienvenus, Plats sans gluten",75007
332,Les Poulettes Batignolles,"Déjeuner, Dîner, Boissons","Sert de l'alcool, American Express acceptée, Mastercard acceptée, Visa acceptée, Paiement en espèces seulement, Wi-Fi gratuit, Réservations, Places assises, Accepte les cartes bancaires, Service de table, Accès personnes handicapées, Bières & Vins, Paiements électroniques",75017
333,Lucette fait des Crepes,"Française, Européenne","Végétariens bienvenus, Plats sans gluten",75009
334,Vava,"Française, Fusion, Diner, Brasserie gastronomique","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75018
335,Le Touareg,"Méditerranéenne, Moyen-Orient, Algérien","Végétariens bienvenus, Choix végétaliens, Halal",75012
336,Menekse,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",75011
337,Le P'tit Vélo,"Française, Européenne","Végétariens bienvenus, Choix végétaliens",75009
338,L'Impasto,"Italienne, Pizza, Méditerranéenne","Végétariens bienvenus, Choix végétaliens",75012
339,Les Bougresses,"Végétariens bienvenus, Plats sans gluten","Déjeuner, Dîner, Ouvert tard",75004
340,Sapori di Parma,Végétariens bienvenus,"Déjeuner, Dîner",56
341,Sur Mesure par Thierry Marx,"Végétariens bienvenus, Plats sans gluten","Déjeuner, Dîner, Ouvert tard",51
342,CHEZ MAXENCE,Végétariens bienvenus,"Déjeuner, Dîner",52
343,Paris-Breizh Place d’Italie,"Française, Européenne","Végétariens bienvenus, Choix végétaliens",75013
344,Maison Rostang,"Française, Européenne",Végétariens bienvenus,75017
345,Le Brun,"Française, Saine, Européenne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75001
346,Kitchen Terre,Européenne,Végétariens bienvenus,75005
347,Le Pré Catelan,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Ouvert tard",75116
348,L'Alsacien,"Bar à vins, Française, Européenne, Bar à bières","Végétariens bienvenus, Choix végétaliens",75004
349,LE LOUIS,"Française, Européenne","Végétariens bienvenus, Plats sans gluten",75001
350,Didon.,Française,,
351,Il était une Oie dans le Sud Ouest,"Déjeuner, Dîner","American Express acceptée, Mastercard acceptée, Visa acceptée, Réservations, Terrasse, Places assises, Chaises hautes disponibles, Sert de l'alcool, Accepte les cartes bancaires, Service de table",75017
352,Brutus - Batignolles,Française,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75017
353,Les Papilles,"Déjeuner, Dîner, Ouvert tard","Réservations, Places assises, Sert de l'alcool, Accepte les cartes bancaires, Service de table",75005
354,L'Artisan Libanais,"Libanaise, Méditerranéenne, Moyen-Orient","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75019
355,Oxymore,Végétariens bienvenus,"Déjeuner, Dîner",75011
356,Chez Paolo,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",75009
357,Les Cèdres du Liban,"Libanaise, Méditerranéenne, Saine, Moyen-Orient, Arabe","Végétariens bienvenus, Choix végétaliens, Halal",75015
358,Ripaille,"Française, Européenne","Déjeuner, Dîner, Ouvert tard",75017
359,Caramel Sarrasin,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Déjeuner, Dîner, Brunch",75009
360,Chez Tony,Française,"Végétariens bienvenus, Choix végétaliens",75016
361,Pizza Caratello,"Italienne, Pizza, Européenne, Méditerranéenne","Végétariens bienvenus, Choix végétaliens",75018
362,RoofTop Molitor,"Végétariens bienvenus, Plats sans gluten","Déjeuner, Dîner, Boissons",75016
363,Alan Geaam Restautant,"Française, Européenne, Moderne","Déjeuner, Dîner",75116
364,Racina,"Italienne, Pizza, Méditerranéenne, Européenne, Traiteur","Végétariens bienvenus, Choix végétaliens",75005
365,0039 Ristorante Italiano,"Italienne, Méditerranéenne, Européenne, Toscane, Italie du Centre",Végétariens bienvenus,75004
366,Restaurant Akrame,Végétariens bienvenus,"Déjeuner, Dîner",75008
367,Les Inséparables,"Française, Européenne","Végétariens bienvenus, Choix végétaliens",75018
368,Rouge Bis,"Française, Bar, Européenne, Saine","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75009
369,Buono Sano Bello,"Italienne, Méditerranéenne, Européenne","Choix végétaliens, Végétariens bienvenus",75019
370,Les Enfants Rouges,"Française, Européenne",Végétariens bienvenus,75003
371,Papelli,"Italienne, Pizza, Méditerranéenne","Végétariens bienvenus, Choix végétaliens",74
372,Le Hide,"Végétariens bienvenus, Plats sans gluten","Déjeuner, Dîner, Ouvert tard",75017
373,Qui Plume La Lune,"Française, Européenne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",50
374,Fermier Gourmet,"Française, Steakhouse, Barbecue/Grillades, Européenne, Cuisine de rue (street food)","Végétariens bienvenus, Plats sans gluten",75003
375,IZU,"Japonaise, Sushi, Asiatique","Végétariens bienvenus, Choix végétaliens",75013
376,A l'Endroit,"Française, Européenne",Végétariens bienvenus,75019
377,Le Berbère,"Végétariens bienvenus, Choix végétaliens, Halal","Déjeuner, Dîner, Ouvert tard",75012
378,Le Jourdain,"Française, Fruits de mer & Poisson, Européenne, Brasserie gastronomique",Plats sans gluten,01
379,Magokoro,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",75009
380,Les Rupins,"Steakhouse, Française, Internationale, Européenne, Grillades","Végétariens bienvenus, Choix végétaliens",75010
381,Astair,"Française, Fruits de mer & Poisson, Grillades, Européenne, Bars-restaurants","Déjeuner, Dîner, Ouvert tard, Boissons",75002
382,Tesoro D'Italia,"Italienne, Méditerranéenne, Européenne","Choix végétaliens, Végétariens bienvenus",75013
383,Freddy's,"Végétariens bienvenus, Plats sans gluten","Déjeuner, Dîner",54
384,Il Farniente,"Italienne, Méditerranéenne, Européenne","Végétariens bienvenus, Choix végétaliens",50
385,L'Alchimiste,"Française, Européenne, Saine",Végétariens bienvenus,75012
386,Le Barav,"Dîner, Ouvert tard, Boissons","Terrasse, Places assises, Sert de l'alcool, Bar complet, Accepte les cartes bancaires, Service de table",75003
387,New Balal,"Indienne, Saine, Pakistanaise","Végétariens bienvenus, Choix végétaliens, Halal, Plats sans gluten",75009
388,Le Sens Unique,"Française, Européenne","Végétariens bienvenus, Plats sans gluten",75008
389,L'Apibo,"Française, Européenne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75002
390,Lylee,"Asiatique, Thaï, Vietnamienne, Saine","Déjeuner, Dîner, Ouvert tard",75015
391,Auguste,"Végétariens bienvenus, Plats sans gluten","Déjeuner, Dîner, Ouvert tard",54
392,Kuccini,"Italienne, Méditerranéenne, Fusion","Végétariens bienvenus, Choix végétaliens",75002
393,Miura,"Française, Européenne, Moderne, Saine","Déjeuner, Dîner, Boissons",75017
394,Bien Bien,"Asiatique, Thaï, Saine","Végétariens bienvenus, Choix végétaliens",75009
395,Sola,"Fusion, Japonaise","Déjeuner, Dîner",75005
396,Mezzé De Beyrouth,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",75014
397,tama-sushi,"Japonaise, Sushi, Asiatique","Végétariens bienvenus, Choix végétaliens",75002
398,Au Virage Lepic,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75018
399,Casa Vina,Végétariens bienvenus,"Déjeuner, Dîner",75011
400,L'Antre Amis,"Française, Européenne",Végétariens bienvenus,75015
401,Vertigo,Végétariens bienvenus,"Déjeuner, Dîner",75011
402,Loco,"Steakhouse, Latino, Barbecue/Grillades, Argentine","Déjeuner, Dîner",75009
403,Mavrommatis,"Méditerranéenne, Européenne, Grecque","Végétariens bienvenus, Choix végétaliens",75005
404,Bistrot de L'Oulette,"Française, Européenne",Végétariens bienvenus,75004
405,Le Refuge du Passé,"Française, Européenne","Déjeuner, Dîner, Ouvert tard",75005
406,Les Saveurs d'Abyssinie,"Africaine, Éthiopienne","Végétariens bienvenus, Choix végétaliens",75005
407,Bel Canto,Végétariens bienvenus,"Dîner, Ouvert tard",72
408,Sourire tapas françaises,"Française, Européenne, Bar à vins","Végétariens bienvenus, Plats sans gluten",75005
409,Kohyang,"Barbecue/Grillades, Asiatique, Coréenne, Internationale, Diner","Végétariens bienvenus, Choix végétaliens",75015
410,La Rughetta,"Italienne, Européenne","Végétariens bienvenus, Choix végétaliens",75018
411,De l'Autre Cote,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Ouvert tard",75010
412,Nick's Pizza,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75009
413,Le Chenin,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75009
414,La Cantina,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Ouvert tard",75016
415,Ristorante Adaggio,"Italienne, Pizza, Méditerranéenne, Européenne","Végétariens bienvenus, Choix végétaliens",07
416,Ristorante Costa d'Amalfi,"Italienne, Méditerranéenne, Européenne","Choix végétaliens, Végétariens bienvenus",75007
417,Le Potager de Charlotte,"Choix végétaliens, Végétariens bienvenus, Plats sans gluten","Déjeuner, Dîner, Brunch",75009
418,Oka,"Brésilienne, Fusion, Française",Végétariens bienvenus,75005
419,L'Insoumise,"Française, Européenne","Déjeuner, Dîner",75015
420,Salento Marais,"Italienne, Méditerranéenne, Européenne, Saine","Végétariens bienvenus, Choix végétaliens",75004
421,Le Potager du Pere Thierry,"Végétariens bienvenus, Plats sans gluten","Déjeuner, Dîner, Ouvert tard",75018
422,Pause Bobun,"Bar à bières, Asiatique, Vietnamienne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75005
423,Chez Pradel,Végétariens bienvenus,"Déjeuner, Boissons",75018
424,Le Pot de Vins,"Française, Européenne, Bar à vins","Déjeuner, Dîner",75001
425,Le Jardin d'en Face,"Française, Européenne","Végétariens bienvenus, Plats sans gluten",75018
426,Sur la route de Plouescat,Française,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75018
427,Accents Table Bourse,Végétariens bienvenus,"Déjeuner, Dîner",75002
428,Terronia,"Italienne, Méditerranéenne, Européenne","Déjeuner, Dîner",75005
429,Les Botanistes,Végétariens bienvenus,"Déjeuner, Dîner",75007
430,le Casse Noix,"Française, Européenne, Saine","Végétariens bienvenus, Plats sans gluten",56
431,Restaurant David Toutain,"Française, Européenne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75007
432,Le Sagittaire,"Déjeuner, Dîner, Ouvert tard","American Express acceptée, Mastercard acceptée, Visa acceptée, Paiements électroniques, Réservations, Places assises, Accès personnes handicapées, Sert de l'alcool, Accepte les cartes bancaires, Service de table",77
433,Fric-Frac,"Française, Européenne, Cuisine de rue (street food)","Végétariens bienvenus, Choix végétaliens",79
434,Al Assil,Choix végétaliens,"Déjeuner, Dîner",50
435,Bien Eleve,"Française, Steakhouse, Européenne","Déjeuner, Dîner",75009
436,Janna,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Ouvert tard",75017
437,Le Restaurant,"Française, Européenne",Végétariens bienvenus,75006
438,L'artiste,"Française, Européenne",Végétariens bienvenus,75018
439,L'estrapade,Française,Végétariens bienvenus,75005
440,Paris Follie's,Végétariens bienvenus,"Petit déjeuner, Déjeuner, Dîner, Brunch",74
441,Carre des Feuillants,"Déjeuner, Dîner, Ouvert tard","Réservations, Salle privée, Places assises, Service de voiturier, Accès personnes handicapées, Sert de l'alcool, Accepte les cartes bancaires, Service de table",75001
442,Le Ruisseau Burger Joint,"Américaine, Restauration rapide",Végétariens bienvenus,75003
443,Chez Léon,"Bar, Française, Brasserie gastronomique",Végétariens bienvenus,75017
444,Le Pavillon de la Grande Cascade,"Française, Européenne, Saine","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75116
445,My Noodles,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",75006
446,Sodam - Restaurant Coréen,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",75014
447,Kashmir House,"Végétariens bienvenus, Choix végétaliens, Halal, Plats sans gluten","Déjeuner, Dîner, Ouvert tard",75010
448,TATA Burger,Américaine,"Végétariens bienvenus, Choix végétaliens",54
449,Assanabel,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Déjeuner, Dîner, Ouvert tard",75014
450,Les petites bouchées,"Française, Européenne, Espagnole, Internationale","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75004
451,Flottes,"Française, Bar","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75001
452,Le Coin des Amis,"Française, Européenne",Végétariens bienvenus,50
453,Antoine,"Déjeuner, Dîner","Réservations, Salle privée, Places assises, Service de voiturier, Accès personnes handicapées, Sert de l'alcool, Bières & Vins, American Express acceptée, Mastercard acceptée, Visa acceptée, Accepte les cartes bancaires, Service de table",75116
454,Le Boudoir,"Française, Européenne, Bar à vins, Brasserie gastronomique",Végétariens bienvenus,75008
455,Nomikai,"Végétariens bienvenus, Plats sans gluten","Dîner, Déjeuner",75012
456,Canard & Champagne,"Française, Européenne","Déjeuner, Dîner",57
457,Le Refuge des Moines,"Française, Européenne, Bar à vins",Végétariens bienvenus,75017
458,le papacionu,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Ouvert tard",75009
459,Le Petit Marché,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75003
460,Les Antiquaires,"Française, Européenne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75007
461,Le Vin Coeur,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Petit déjeuner, Déjeuner, Dîner, Brunch, Ouvert tard",75017
462,Don Camilo,"Déjeuner, Dîner, Boissons","Chèques-cadeaux disponibles, Réservations, Places assises, Sert de l'alcool, Service de table",75006
463,La Cuisine de Philippe,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75006
464,Postiche,"Française, Européenne",Végétariens bienvenus,75001
465,"Les Affames,",Moderne,"Dîner, Déjeuner",75002
466,CHEZ BOUBOULE,"Française, Européenne","Déjeuner, Dîner",75009
467,Frederic Simonin,"Française, Européenne",Végétariens bienvenus,75017
468,Tesoro d'Italia,"Italienne, Méditerranéenne, Européenne","Végétariens bienvenus, Choix végétaliens",75010
469,LES TANTES JEANNE,"Française, Européenne","Végétariens bienvenus, Plats sans gluten",75018
470,La Petite Bretonne,"Française, Européenne","Végétariens bienvenus, Choix végétaliens",75005
471,Pierre Sang on Gambey,"Coréenne, Française, Européenne, Fusion","Végétariens bienvenus, Plats sans gluten",75011
472,Restaurant Will,"Déjeuner, Dîner","Réservations, Terrasse, Places assises, Accès personnes handicapées, Sert de l'alcool, Accepte les cartes bancaires, Service de table",75
473,L'Oiseau Blanc Restaurant,"Française, Européenne","Déjeuner, Dîner, Ouvert tard, Boissons",75116
474,Le George,"Méditerranéenne, Italienne, Européenne, Saine, Toscane, Italie du Centre","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75008
475,Le recepteur,"Française, Européenne","Végétariens bienvenus, Choix végétaliens",75016
476,La Traversée,"Française, Bar à bières, Bar, Moderne, Bar à vins, Européenne","Végétariens bienvenus, Choix végétaliens",75018
477,Les Fines Gueules,"Française, Européenne, Bar à vins","Végétariens bienvenus, Plats sans gluten",75001
478,Black dog,"Française, Barbecue/Grillades, Steakhouse, Argentine","Déjeuner, Dîner, Ouvert tard",75004
479,La Forge,"Déjeuner, Dîner, Ouvert tard, Boissons","Réservations, Places assises, Accès personnes handicapées, Sert de l'alcool, Service de table",75019
480,Bistrot Victoires,"Française, Bar, Européenne",Végétariens bienvenus,75001
481,Le Ju',"Française, Bar, Européenne","Végétariens bienvenus, Choix végétaliens",75004
482,L'Elan 9,"Française, Brasserie gastronomique, Européenne",Végétariens bienvenus,75009
483,Murier,"Française, Européenne",Végétariens bienvenus,75015
484,La Part des Anges,"Française, Européenne","Déjeuner, Dîner, Ouvert tard, Boissons",75018
485,L'Abreuvoir,"Française, Européenne, Internationale","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75015
486,Les Fines Lames,"Française, Steakhouse, Barbecue/Grillades, Grillades","Déjeuner, Dîner",75018
487,Diggity,"Française, Européenne, Saine","Déjeuner, Dîner, Ouvert tard, Boissons",75011
488,Au Doux Raisin,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard, Boissons",75005
489,Caffe Caesar,"Italienne, Pizza, Européenne","Végétariens bienvenus, Choix végétaliens",75017
490,L'Atelier Ramey,"Française, Européenne, Brasserie gastronomique",Végétariens bienvenus,75018
491,A Côté,"Française, Internationale, Européenne","Déjeuner, Dîner, Boissons, Ouvert tard",75009
492,Le Baudelaire,"Française, Européenne","Petit déjeuner, Déjeuner, Dîner, Ouvert tard",75001
493,Bidoche Boucherie Restaurant,"Française, Steakhouse","Déjeuner, Dîner",75011
494,Casta Diva,"Italienne, Méditerranéenne, Européenne","Végétariens bienvenus, Choix végétaliens",02
495,Nomicos (ex- Les Tablettes),Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75116
496,Galette Café,"Française, Européenne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75007
497,Le Petit Pontoise,"Française, Européenne",Végétariens bienvenus,75005
498,Aux Dés Calés 17,"Française, Bar, Européenne","Végétariens bienvenus, Choix végétaliens",75017
499,Il Modigliani,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",72
500,Bistrotters,"Française, Européenne, Saine",Végétariens bienvenus,75014
501,Il Forno Di Napoli,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Ouvert tard",75014
502,Le Volant,"Déjeuner, Dîner, Ouvert tard","Réservations, Places assises, Sert de l'alcool, Bar complet, Accepte les cartes bancaires, Service de table",75015
503,Le Café de Mars,"Fusion, Française, Européenne","Végétariens bienvenus, Plats sans gluten",75007
504,Palais du Bonheur,"Chinoise, Asiatique, Thaï, Cuisine de Pékin","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75016
505,Le Bookie,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",75009
506,Sizin,Choix végétaliens,"Petit déjeuner, Déjeuner, Dîner, Boissons",75009
507,Verjus,"Végétariens bienvenus, Plats sans gluten","Dîner, Ouvert tard, Boissons",52
508,Siseng,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Ouvert tard",75010
509,Jérémie,"Française, Européenne","Déjeuner, Dîner",75116
510,Vivre Ópera Garnier,Française,Végétariens bienvenus,75002
511,Meriggio,Italienne,Choix végétaliens,75009
512,Polissons,"Française, Européenne",Végétariens bienvenus,75018
513,Pratolina,"Italienne, Méditerranéenne, Européenne","Végétariens bienvenus, Choix végétaliens",75002
514,Gaspard de la Nuit,"Française, Européenne","Dîner, Ouvert tard",75004
515,Le Vaisseau Vert,"Française, Saine, Internationale, Moderne","Déjeuner, Dîner, Boissons",75009
516,Les 110 de Taillevent,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Déjeuner, Dîner, Ouvert tard",75008
517,Papajazzclub,"Française, Européenne","Dîner, Ouvert tard, Boissons",75006
518,Caius,"Végétariens bienvenus, Plats sans gluten","Déjeuner, Dîner, Ouvert tard",75017
519,La Table Du Caviste Bio,"Française, Européenne, Fusion japonaise","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",55
520,Restaurant Clémentine,"Française, Européenne, Saine",Végétariens bienvenus,75002
521,Le Grand Restaurant Jean françois Piège,Française,"Déjeuner, Dîner",75008
522,Neva Cuisine,"Déjeuner, Dîner","Réservations, Places assises, Sert de l'alcool, Accepte les cartes bancaires, Service de table",75008
523,Villa Verdi,"Italienne, Méditerranéenne, Européenne, Romana, Latium, Italie du Centre","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75015
524,Restaurant la Ville de Provins Paris,"Végétariens bienvenus, Choix végétaliens","Petit déjeuner, Déjeuner, Dîner, Brunch",74
525,Tesoro D'italia,"Méditerranéenne, Italienne, Européenne","Choix végétaliens, Végétariens bienvenus",75009
526,Le Rusti,"Italienne, Méditerranéenne, Européenne","Végétariens bienvenus, Choix végétaliens",75004
527,Santa Carne,"Dîner, Ouvert tard","Réservations, Places assises, Sert de l'alcool, Accepte les cartes bancaires, Service de table",75011
528,Il Farniente,"Italienne, Méditerranéenne, Européenne","Végétariens bienvenus, Choix végétaliens",75014
529,Café Bolivar,"Française, Café, Européenne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75019
530,4 Pat,Végétariens bienvenus,"Déjeuner, Dîner, Brunch, Ouvert tard",75004
531,Tomy & Co,Végétariens bienvenus,Végétariens bienvenus,75007
532,Augustin Bistrot,Végétariens bienvenus,"Déjeuner, Dîner",79
533,Il Vicolo,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75006
534,Le Barbier De Bastille,"Déjeuner, Dîner, Brunch","Plats à emporter, Réservations, Terrasse, Places assises, Accès personnes handicapées, Sert de l'alcool, Bar complet, Wi-Fi gratuit, Service de table",75011
535,La Mère Poule,Végétariens bienvenus,"Déjeuner, Brunch, Dîner",01
536,La Petite Auberge,"Déjeuner, Dîner, Ouvert tard","Réservations, Places assises, Sert de l'alcool, Accepte les cartes bancaires, Service de table",75015
537,Nossa Churrasqueira,"Barbecue/Grillades, Européenne, Grillades, Portugaise, Méditerranéenne","Déjeuner, Dîner",75005
